"FileName","Well","Treatment","2N peak","4N peak","< 2N","2N","S","4N","> 4N","Total","< 2N (%)","2N (%)","S (%)","4N (%)","> 4N (%)"
"Nuclei_A549","C13","Untreated",7.0612244897959187,12.204081632653061,70.0,402.0,91.0,131.0,7.0,701.0,9.985734664764621,57.346647646219687,12.981455064194009,18.687589158345222,0.99857346647646217
"Nuclei_A549","C14","Untreated",7.0612244897959187,11.836734693877551,92.0,505.0,110.0,132.0,25.0,864.0,10.648148148148149,58.449074074074069,12.731481481481483,15.277777777777779,2.8935185185185186
"Nuclei_A549","C15","Untreated",7.0612244897959187,12.755102040816327,105.0,594.0,133.0,140.0,14.0,986.0,10.649087221095336,60.243407707910748,13.488843813387424,14.198782961460447,1.4198782961460445
"Nuclei_A549","C16","Untreated",7.0612244897959187,11.469387755102041,67.0,495.0,118.0,142.0,28.0,850.0,7.882352941176471,58.235294117647065,13.882352941176471,16.705882352941178,3.2941176470588238
"Nuclei_A549","C17","Untreated",7.0612244897959187,11.836734693877551,43.0,309.0,78.0,67.0,7.0,504.0,8.5317460317460316,61.30952380952381,15.476190476190476,13.293650793650794,1.3888888888888888
"Nuclei_A549","C18","Untreated",7.0612244897959187,11.285714285714286,73.0,419.0,109.0,107.0,41.0,749.0,9.7463284379172226,55.941255006675576,14.552736982643525,14.285714285714285,5.4739652870493991
"Nuclei_A549","C19","Untreated",7.0612244897959187,13.122448979591837,50.0,424.0,94.0,80.0,14.0,662.0,7.5528700906344408,64.048338368580062,14.19939577039275,12.084592145015106,2.1148036253776437
"Nuclei_A549","C20","Untreated",7.2448979591836737,12.938775510204083,90.0,480.0,139.0,124.0,21.0,854.0,10.53864168618267,56.206088992974237,16.276346604215455,14.519906323185012,2.459016393442623
"Nuclei_A549","C21","Untreated",7.0612244897959187,10.73469387755102,92.0,528.0,121.0,116.0,75.0,932.0,9.8712446351931327,56.652360515021464,12.98283261802575,12.446351931330472,8.0472103004291853
"Nuclei_A549","C22","Untreated",7.0612244897959187,12.755102040816327,83.0,494.0,85.0,81.0,9.0,752.0,11.037234042553191,65.691489361702125,11.303191489361703,10.771276595744681,1.196808510638298
"Nuclei_A549","C23","Untreated",6.8775510204081636,12.755102040816327,88.0,545.0,92.0,137.0,11.0,873.0,10.080183276059564,62.42840778923253,10.538373424971363,15.693012600229094,1.2600229095074456
"Nuclei_A549","C24","Untreated",7.0612244897959187,12.755102040816327,94.0,314.0,32.0,63.0,7.0,510.0,18.43137254901961,61.568627450980394,6.2745098039215685,12.352941176470589,1.3725490196078431
"Nuclei_A549","D13","DMSO-Pac",6.8775510204081636,12.387755102040817,104.0,468.0,127.0,103.0,17.0,819.0,12.698412698412698,57.142857142857139,15.506715506715507,12.576312576312576,2.0757020757020754
"Nuclei_A549","D14","DMSO-Pac",6.8775510204081636,12.204081632653061,116.0,658.0,144.0,186.0,20.0,1124.0,10.320284697508896,58.540925266903912,12.811387900355871,16.548042704626333,1.7793594306049825
"Nuclei_A549","D15","DMSO-Pac",6.6938775510204085,12.020408163265307,112.0,642.0,166.0,168.0,6.0,1094.0,10.237659963436929,58.68372943327239,15.173674588665447,15.356489945155394,0.54844606946983543
"Nuclei_A549","D16","Paclitaxel 1.6 nM",4.3061224489795915,9.6326530612244898,126.0,269.0,216.0,129.0,68.0,808.0,15.594059405940595,33.292079207920793,26.732673267326735,15.965346534653465,8.4158415841584162
"Nuclei_A549","D17","Paclitaxel 1.6 nM",3.2040816326530615,6.3265306122448983,88.0,141.0,168.0,195.0,173.0,765.0,11.503267973856209,18.43137254901961,21.96078431372549,25.490196078431371,22.614379084967322
"Nuclei_A549","D18","Paclitaxel 1.6 nM",3.3877551020408165,9.4489795918367356,30.0,207.0,227.0,96.0,67.0,627.0,4.7846889952153111,33.014354066985646,36.204146730462519,15.311004784688995,10.685805422647528
"Nuclei_A549","D19","Paclitaxel 5 nM",2.6530612244897958,6.3265306122448983,45.0,117.0,121.0,126.0,181.0,590.0,7.6271186440677967,19.830508474576273,20.508474576271183,21.35593220338983,30.677966101694913
"Nuclei_A549","D20","Paclitaxel 5 nM",3.2040816326530615,6.8775510204081636,62.0,134.0,82.0,105.0,107.0,490.0,12.653061224489795,27.346938775510203,16.73469387755102,21.428571428571427,21.836734693877553
"Nuclei_A549","D21","Paclitaxel 5 nM",3.3877551020408165,6.5102040816326534,115.0,131.0,119.0,148.0,217.0,730.0,15.753424657534246,17.945205479452056,16.301369863013697,20.273972602739725,29.726027397260275
"Nuclei_A549","D22","Paclitaxel 15 nM",3.0204081632653064,6.5102040816326534,30.0,47.0,30.0,42.0,92.0,241.0,12.448132780082988,19.502074688796682,12.448132780082988,17.427385892116181,38.174273858921161
"Nuclei_A549","D23","Paclitaxel 15 nM",6.8775510204081636,12.571428571428571,71.0,52.0,22.0,43.0,1.0,189.0,37.566137566137563,27.513227513227513,11.640211640211639,22.75132275132275,0.52910052910052907
