"FileName","Well","Treatment","2N peak","4N peak","< 2N","2N","S","4N","> 4N","Total","< 2N (%)","2N (%)","S (%)","4N (%)","> 4N (%)"
"Nuclei_MCF7","I01","Untreated",7.8775510204081627,14.857142857142858,8.0,326.0,76.0,116.0,16.0,542.0,1.4760147601476015,60.147601476014756,14.022140221402212,21.402214022140221,2.9520295202952029
"Nuclei_MCF7","I02","Untreated",7.4897959183673466,14.081632653061224,7.0,210.0,72.0,74.0,6.0,369.0,1.8970189701897018,56.910569105691053,19.512195121951219,20.054200542005422,1.6260162601626018
"Nuclei_MCF7","I03","Untreated",7.4897959183673466,14.857142857142858,0.0,191.0,72.0,53.0,12.0,328.0,0.0,58.231707317073166,21.951219512195124,16.158536585365855,3.6585365853658534
"Nuclei_MCF7","I04","Untreated",7.4897959183673466,11.755102040816325,11.0,118.0,64.0,36.0,56.0,285.0,3.8596491228070176,41.403508771929829,22.456140350877192,12.631578947368421,19.649122807017545
"Nuclei_MCF7","I05","Untreated",7.4897959183673466,11.36734693877551,6.0,109.0,59.0,50.0,70.0,294.0,2.0408163265306123,37.074829931972793,20.068027210884352,17.006802721088434,23.809523809523807
"Nuclei_MCF7","I06","Untreated",7.4897959183673466,13.693877551020408,11.0,154.0,62.0,82.0,12.0,321.0,3.4267912772585665,47.975077881619939,19.314641744548286,25.545171339563861,3.7383177570093453
"Nuclei_MCF7","I07","Untreated",7.1020408163265305,12.918367346938775,4.0,90.0,31.0,31.0,9.0,165.0,2.4242424242424243,54.54545454545454,18.787878787878785,18.787878787878785,5.4545454545454541
"Nuclei_MCF7","I08","Untreated",7.4897959183673466,14.081632653061224,4.0,137.0,35.0,31.0,23.0,230.0,1.7391304347826086,59.565217391304351,15.217391304347828,13.478260869565217,10.0
"Nuclei_MCF7","I09","Untreated",7.1020408163265305,12.918367346938775,13.0,71.0,23.0,22.0,11.0,140.0,9.2857142857142865,50.714285714285708,16.428571428571427,15.714285714285714,7.8571428571428568
"Nuclei_MCF7","I10","Untreated",7.4897959183673466,14.081632653061224,3.0,201.0,42.0,47.0,8.0,301.0,0.99667774086378735,66.777408637873762,13.953488372093023,15.614617940199334,2.6578073089700998
"Nuclei_MCF7","I11","Untreated",7.4897959183673466,14.081632653061224,3.0,87.0,26.0,17.0,4.0,137.0,2.1897810218978102,63.503649635036496,18.978102189781019,12.408759124087592,2.9197080291970803
"Nuclei_MCF7","I12","Untreated",7.1020408163265305,13.693877551020408,1.0,92.0,31.0,40.0,6.0,170.0,0.58823529411764708,54.117647058823529,18.235294117647058,23.52941176470588,3.5294117647058822
"Nuclei_MCF7","J01","DMSO-Pac",7.4897959183673466,13.693877551020408,4.0,472.0,111.0,138.0,21.0,746.0,0.53619302949061665,63.270777479892757,14.87935656836461,18.498659517426276,2.8150134048257374
"Nuclei_MCF7","J02","DMSO-Pac",7.1020408163265305,13.306122448979592,3.0,288.0,65.0,114.0,13.0,483.0,0.6211180124223602,59.627329192546583,13.457556935817806,23.602484472049689,2.691511387163561
